,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/reno:2,10,10.0-11.0 sec,445,KBytes,3.65,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:2,11,11.0-12.0 sec,445,KBytes,3.65,Mbits/sec,384,KBytes,3.15,Mbits/sec
reno/reno:2,12,12.0-13.0 sec,318,KBytes,2.61,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:2,13,13.0-14.0 sec,512,KBytes,4.19,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/reno:2,14,14.0-15.0 sec,1.00,MBytes,8.39,Mbits/sec,896,KBytes,7.34,Mbits/sec
reno/reno:2,15,15.0-16.0 sec,1.25,MBytes,10.5,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/reno:2,16,16.0-17.0 sec,768,KBytes,6.29,Mbits/sec,1.50,MBytes,12.6,Mbits/sec
reno/reno:2,17,17.0-18.0 sec,768,KBytes,6.29,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:2,18,18.0-19.0 sec,1.00,MBytes,8.39,Mbits/sec,346,KBytes,2.83,Mbits/sec
reno/reno:2,19,19.0-20.0 sec,1.00,MBytes,8.39,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:3,0,0.0- 1.0 sec,896,KBytes,7.34,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:3,1,1.0- 2.0 sec,1.12,MBytes,9.44,Mbits/sec,512,KBytes,4.19,Mbits/sec
reno/reno:3,2,2.0- 3.0 sec,1.25,MBytes,10.5,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:3,3,3.0- 4.0 sec,1.50,MBytes,12.6,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/reno:3,4,4.0- 5.0 sec,1.25,MBytes,10.5,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:3,5,5.0- 6.0 sec,768,KBytes,6.29,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/reno:3,6,6.0- 7.0 sec,896,KBytes,7.34,Mbits/sec,1.62,MBytes,13.6,Mbits/sec
reno/reno:3,7,7.0- 8.0 sec,1.00,MBytes,8.39,Mbits/sec,2.12,MBytes,17.8,Mbits/sec
reno/reno:3,8,8.0- 9.0 sec,1.25,MBytes,10.5,Mbits/sec,1.62,MBytes,13.6,Mbits/sec
reno/reno:3,9,9.0-10.0 sec,1.25,MBytes,10.5,Mbits/sec,1.62,MBytes,13.6,Mbits/sec
reno/reno:3,10,10.0-11.0 sec,1.00,MBytes,8.39,Mbits/sec,1.88,MBytes,15.7,Mbits/sec
reno/reno:3,11,11.0-12.0 sec,1.50,MBytes,12.6,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:3,12,12.0-13.0 sec,768,KBytes,6.29,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:3,13,13.0-14.0 sec,1.25,MBytes,10.5,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/reno:3,14,14.0-15.0 sec,1.50,MBytes,12.6,Mbits/sec,640,KBytes,5.24,Mbits/sec
reno/reno:3,15,15.0-16.0 sec,2.00,MBytes,16.8,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:3,16,16.0-17.0 sec,1.62,MBytes,13.6,Mbits/sec,640,KBytes,5.24,Mbits/sec
reno/reno:3,17,17.0-18.0 sec,1.50,MBytes,12.6,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:3,18,18.0-19.0 sec,1.88,MBytes,15.7,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:3,19,19.0-20.0 sec,1.25,MBytes,10.5,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:4,0,0.0- 1.0 sec,1.00,MBytes,8.39,Mbits/sec,1.25,MBytes,10.5,Mbits/sec
reno/reno:4,1,1.0- 2.0 sec,1.25,MBytes,10.5,Mbits/sec,768,KBytes,6.29,Mbits/sec
reno/reno:4,2,2.0- 3.0 sec,1.00,MBytes,8.39,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/reno:4,3,3.0- 4.0 sec,1.12,MBytes,9.44,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:4,4,4.0- 5.0 sec,1.50,MBytes,12.6,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/reno:4,5,5.0- 6.0 sec,1.00,MBytes,8.39,Mbits/sec,768,KBytes,6.29,Mbits/sec
