,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/reno:2,11,11.0-12.0 sec,79.2,KBytes,649,Kbits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:2,12,12.0-13.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,13,13.0-14.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,14,14.0-15.0 sec,127,KBytes,1.04,Mbits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:2,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:2,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:2,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:2,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,167,KBytes,1.37,Mbits/sec
reno/reno:3,1,1.0- 2.0 sec,62.2,KBytes,510,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:3,2,2.0- 3.0 sec,0.00,Bytes,0.00,bits/sec,311,KBytes,2.55,Mbits/sec
reno/reno:3,3,3.0- 4.0 sec,31.1,KBytes,255,Kbits/sec,187,KBytes,1.53,Mbits/sec
reno/reno:3,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:3,5,5.0- 6.0 sec,0.00,Bytes,0.00,bits/sec,199,KBytes,1.63,Mbits/sec
reno/reno:3,6,6.0- 7.0 sec,5.66,KBytes,46.3,Kbits/sec,202,KBytes,1.66,Mbits/sec
reno/reno:3,7,7.0- 8.0 sec,142,KBytes,1.16,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,8,8.0- 9.0 sec,367,KBytes,3.01,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:3,10,10.0-11.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/reno:3,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/reno:3,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/reno:3,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,14,14.0-15.0 sec,63.6,KBytes,521,Kbits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:3,15,15.0-16.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,16,16.0-17.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,17,17.0-18.0 sec,318,KBytes,2.61,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,18,18.0-19.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,167,KBytes,1.37,Mbits/sec
reno/reno:4,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,2,2.0- 3.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:4,3,3.0- 4.0 sec,250,KBytes,2.05,Mbits/sec,56.6,KBytes,463,Kbits/sec
reno/reno:4,4,4.0- 5.0 sec,266,KBytes,2.18,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,5,5.0- 6.0 sec,63.6,KBytes,521,Kbits/sec,48.1,KBytes,394,Kbits/sec
reno/reno:4,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,337,KBytes,2.76,Mbits/sec
reno/reno:4,7,7.0- 8.0 sec,127,KBytes,1.04,Mbits/sec,48.1,KBytes,394,Kbits/sec
reno/reno:4,8,8.0- 9.0 sec,127,KBytes,1.04,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,9,9.0-10.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,10,10.0-11.0 sec,191,KBytes,1.56,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,140,KBytes,1.15,Mbits/sec
reno/reno:4,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/reno:4,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:4,14,14.0-15.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/reno:4,16,16.0-17.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,17,17.0-18.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,19,19.0-20.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,20,0.0-20.2 sec,2.06,MBytes,857,Kbits/sec,1.40,MBytes,582,Kbits/sec
reno/westwood:0,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,94.7,KBytes,776,Kbits/sec
reno/westwood:0,1,1.0- 2.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,2,2.0- 3.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,3,3.0- 4.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,4,4.0- 5.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,5,5.0- 6.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
