,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/westwood:1,12,12.0-13.0 sec,1.50,MBytes,12.6,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:1,13,13.0-14.0 sec,1.50,MBytes,12.6,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:1,14,14.0-15.0 sec,1.25,MBytes,10.5,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:1,15,15.0-16.0 sec,1.50,MBytes,12.6,Mbits/sec,3.38,MBytes,28.3,Mbits/sec
reno/westwood:1,16,16.0-17.0 sec,640,KBytes,5.24,Mbits/sec,3.88,MBytes,32.5,Mbits/sec
reno/westwood:1,17,17.0-18.0 sec,1.00,MBytes,8.39,Mbits/sec,3.38,MBytes,28.3,Mbits/sec
reno/westwood:1,18,18.0-19.0 sec,768,KBytes,6.29,Mbits/sec,3.38,MBytes,28.3,Mbits/sec
reno/westwood:1,19,19.0-20.0 sec,1.12,MBytes,9.44,Mbits/sec,4.50,MBytes,37.7,Mbits/sec
reno/westwood:2,0,0.0- 1.0 sec,1.00,MBytes,8.39,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:2,1,1.0- 2.0 sec,1.12,MBytes,9.44,Mbits/sec,4.12,MBytes,34.6,Mbits/sec
reno/westwood:2,2,2.0- 3.0 sec,1.50,MBytes,12.6,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:2,3,3.0- 4.0 sec,1.75,MBytes,14.7,Mbits/sec,3.38,MBytes,28.3,Mbits/sec
reno/westwood:2,4,4.0- 5.0 sec,1.25,MBytes,10.5,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:2,5,5.0- 6.0 sec,1.25,MBytes,10.5,Mbits/sec,4.50,MBytes,37.7,Mbits/sec
reno/westwood:2,6,6.0- 7.0 sec,1.25,MBytes,10.5,Mbits/sec,4.25,MBytes,35.7,Mbits/sec
reno/westwood:2,7,7.0- 8.0 sec,768,KBytes,6.29,Mbits/sec,4.62,MBytes,38.8,Mbits/sec
reno/westwood:2,8,8.0- 9.0 sec,1.00,MBytes,8.39,Mbits/sec,4.50,MBytes,37.7,Mbits/sec
reno/westwood:2,9,9.0-10.0 sec,1.25,MBytes,10.5,Mbits/sec,5.12,MBytes,43.0,Mbits/sec
reno/westwood:2,10,10.0-11.0 sec,768,KBytes,6.29,Mbits/sec,5.62,MBytes,47.2,Mbits/sec
reno/westwood:2,11,11.0-12.0 sec,1.25,MBytes,10.5,Mbits/sec,5.12,MBytes,43.0,Mbits/sec
reno/westwood:2,12,12.0-13.0 sec,1.75,MBytes,14.7,Mbits/sec,5.62,MBytes,47.2,Mbits/sec
reno/westwood:2,13,13.0-14.0 sec,2.12,MBytes,17.8,Mbits/sec,5.38,MBytes,45.1,Mbits/sec
reno/westwood:2,14,14.0-15.0 sec,1.88,MBytes,15.7,Mbits/sec,5.12,MBytes,43.0,Mbits/sec
reno/westwood:2,15,15.0-16.0 sec,1.50,MBytes,12.6,Mbits/sec,5.25,MBytes,44.0,Mbits/sec
reno/westwood:2,16,16.0-17.0 sec,1.88,MBytes,15.7,Mbits/sec,6.00,MBytes,50.3,Mbits/sec
reno/westwood:2,17,17.0-18.0 sec,1.88,MBytes,15.7,Mbits/sec,6.50,MBytes,54.5,Mbits/sec
reno/westwood:2,18,18.0-19.0 sec,1.62,MBytes,13.6,Mbits/sec,5.62,MBytes,47.2,Mbits/sec
reno/westwood:2,19,19.0-20.0 sec,1.00,MBytes,8.39,Mbits/sec,5.75,MBytes,48.2,Mbits/sec
reno/westwood:3,0,0.0- 1.0 sec,1.25,MBytes,10.5,Mbits/sec,3.38,MBytes,28.4,Mbits/sec
reno/westwood:3,1,1.0- 2.0 sec,768,KBytes,6.29,Mbits/sec,700,KBytes,5.73,Mbits/sec
reno/westwood:3,2,2.0- 3.0 sec,896,KBytes,7.34,Mbits/sec,1.12,MBytes,9.38,Mbits/sec
reno/westwood:3,3,3.0- 4.0 sec,1.62,MBytes,13.6,Mbits/sec,1.37,MBytes,11.5,Mbits/sec
reno/westwood:3,4,4.0- 5.0 sec,1.75,MBytes,14.7,Mbits/sec,1.68,MBytes,14.1,Mbits/sec
reno/westwood:3,5,5.0- 6.0 sec,1.25,MBytes,10.5,Mbits/sec,1.56,MBytes,13.1,Mbits/sec
reno/westwood:3,6,6.0- 7.0 sec,1.12,MBytes,9.44,Mbits/sec,2.50,MBytes,21.0,Mbits/sec
reno/westwood:3,7,7.0- 8.0 sec,1.75,MBytes,14.7,Mbits/sec,1.62,MBytes,13.6,Mbits/sec
reno/westwood:3,8,8.0- 9.0 sec,2.50,MBytes,21.0,Mbits/sec,2.38,MBytes,19.9,Mbits/sec
reno/westwood:3,9,9.0-10.0 sec,2.12,MBytes,17.8,Mbits/sec,2.50,MBytes,21.0,Mbits/sec
reno/westwood:3,10,10.0-11.0 sec,768,KBytes,6.29,Mbits/sec,2.38,MBytes,19.9,Mbits/sec
reno/westwood:3,11,11.0-12.0 sec,1.12,MBytes,9.44,Mbits/sec,3.25,MBytes,27.3,Mbits/sec
reno/westwood:3,12,12.0-13.0 sec,772,KBytes,6.32,Mbits/sec,3.25,MBytes,27.3,Mbits/sec
reno/westwood:3,13,13.0-14.0 sec,636,KBytes,5.21,Mbits/sec,3.12,MBytes,26.2,Mbits/sec
reno/westwood:3,14,14.0-15.0 sec,573,KBytes,4.69,Mbits/sec,2.50,MBytes,21.0,Mbits/sec
reno/westwood:3,15,15.0-16.0 sec,1.06,MBytes,8.86,Mbits/sec,4.25,MBytes,35.7,Mbits/sec
reno/westwood:3,16,16.0-17.0 sec,382,KBytes,3.13,Mbits/sec,3.25,MBytes,27.3,Mbits/sec
reno/westwood:3,17,17.0-18.0 sec,768,KBytes,6.29,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:3,18,18.0-19.0 sec,1.12,MBytes,9.44,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:3,19,19.0-20.0 sec,1.12,MBytes,9.44,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:4,0,0.0- 1.0 sec,1.25,MBytes,10.5,Mbits/sec,2.55,MBytes,21.4,Mbits/sec
reno/westwood:4,1,1.0- 2.0 sec,1.38,MBytes,11.5,Mbits/sec,700,KBytes,5.73,Mbits/sec
reno/westwood:4,2,2.0- 3.0 sec,1.88,MBytes,15.7,Mbits/sec,1.00,MBytes,8.39,Mbits/sec
reno/westwood:4,3,3.0- 4.0 sec,1.00,MBytes,8.39,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/westwood:4,4,4.0- 5.0 sec,1.00,MBytes,8.39,Mbits/sec,1.75,MBytes,14.7,Mbits/sec
reno/westwood:4,5,5.0- 6.0 sec,1.00,MBytes,8.39,Mbits/sec,1.12,MBytes,9.44,Mbits/sec
reno/westwood:4,6,6.0- 7.0 sec,1.25,MBytes,10.5,Mbits/sec,2.25,MBytes,18.9,Mbits/sec
reno/westwood:4,7,7.0- 8.0 sec,1.00,MBytes,8.39,Mbits/sec,2.25,MBytes,18.9,Mbits/sec
reno/westwood:4,8,8.0- 9.0 sec,1.00,MBytes,8.39,Mbits/sec,2.75,MBytes,23.1,Mbits/sec
reno/westwood:4,9,9.0-10.0 sec,1.00,MBytes,8.39,Mbits/sec,3.38,MBytes,28.3,Mbits/sec
reno/westwood:4,10,10.0-11.0 sec,768,KBytes,6.29,Mbits/sec,3.38,MBytes,28.3,Mbits/sec
reno/westwood:4,11,11.0-12.0 sec,1.25,MBytes,10.5,Mbits/sec,3.88,MBytes,32.5,Mbits/sec
reno/westwood:4,12,12.0-13.0 sec,1.25,MBytes,10.5,Mbits/sec,3.88,MBytes,32.5,Mbits/sec
reno/westwood:4,13,13.0-14.0 sec,1.50,MBytes,12.6,Mbits/sec,4.00,MBytes,33.6,Mbits/sec
reno/westwood:4,14,14.0-15.0 sec,1.25,MBytes,10.5,Mbits/sec,4.50,MBytes,37.7,Mbits/sec
reno/westwood:4,15,15.0-16.0 sec,768,KBytes,6.29,Mbits/sec,4.88,MBytes,40.9,Mbits/sec
reno/westwood:4,16,16.0-17.0 sec,1.25,MBytes,10.5,Mbits/sec,4.75,MBytes,39.8,Mbits/sec
reno/westwood:4,17,17.0-18.0 sec,640,KBytes,5.24,Mbits/sec,5.50,MBytes,46.1,Mbits/sec
reno/westwood:4,18,18.0-19.0 sec,1.25,MBytes,10.5,Mbits/sec,5.62,MBytes,47.2,Mbits/sec
reno/westwood:4,19,19.0-20.0 sec,1.38,MBytes,11.5,Mbits/sec,5.00,MBytes,41.9,Mbits/sec
reno/westwood:4,20,0.0-20.1 sec,23.0,MBytes,9.59,Mbits/sec,64.2,MBytes,26.9,Mbits/sec
reno/illinois:0,0,0.0- 1.0 sec,1.25,MBytes,10.5,Mbits/sec,4.75,MBytes,39.8,Mbits/sec
reno/illinois:0,1,1.0- 2.0 sec,768,KBytes,6.29,Mbits/sec,4.50,MBytes,37.7,Mbits/sec
reno/illinois:0,2,2.0- 3.0 sec,640,KBytes,5.24,Mbits/sec,5.75,MBytes,48.2,Mbits/sec
reno/illinois:0,3,3.0- 4.0 sec,896,KBytes,7.34,Mbits/sec,5.88,MBytes,49.3,Mbits/sec
reno/illinois:0,4,4.0- 5.0 sec,1.00,MBytes,8.39,Mbits/sec,7.50,MBytes,62.9,Mbits/sec
reno/illinois:0,5,5.0- 6.0 sec,512,KBytes,4.19,Mbits/sec,6.75,MBytes,56.6,Mbits/sec
reno/illinois:0,6,6.0- 7.0 sec,768,KBytes,6.29,Mbits/sec,6.62,MBytes,55.6,Mbits/sec
reno/illinois:0,7,7.0- 8.0 sec,1.12,MBytes,9.44,Mbits/sec,8.25,MBytes,69.2,Mbits/sec
reno/illinois:0,8,8.0- 9.0 sec,768,KBytes,6.29,Mbits/sec,8.75,MBytes,73.4,Mbits/sec
